State,City,Year,week,precip_sum,temp_mean,aqi_proxy_pm25
Goa,Panaji,2025,52,0.0,25.428571428571427,39.83154761904762
Gujarat,Gandhinagar,2025,1,0.0,20.275,43.254687499999996
Gujarat,Gandhinagar,2025,2,0.0,18.985714285714288,37.03511904761905
Gujarat,Gandhinagar,2025,3,0.3,20.228571428571428,49.65535714285714
Gujarat,Gandhinagar,2025,4,0.0,21.47142857142857,36.57083333333333
Gujarat,Gandhinagar,2025,5,0.0,21.2,32.42857142857143
Gujarat,Gandhinagar,2025,6,0.0,21.485714285714288,25.072619047619046
Gujarat,Gandhinagar,2025,7,0.0,23.25714285714286,27.452976190476193
Gujarat,Gandhinagar,2025,8,0.0,25.0,24.475
Gujarat,Gandhinagar,2025,9,0.0,25.771428571428572,26.759523809523813
Gujarat,Gandhinagar,2025,10,0.0,24.914285714285715,23.648214285714285
Gujarat,Gandhinagar,2025,11,0.0,28.185714285714287,18.179761904761904
Gujarat,Gandhinagar,2025,12,0.0,27.02857142857143,16.850595238095238
Gujarat,Gandhinagar,2025,13,0.0,28.02857142857143,16.714880952380952
Gujarat,Gandhinagar,2025,14,0.0,30.52857142857143,16.329761904761906
Gujarat,Gandhinagar,2025,15,0.0,32.2,16.066071428571426
Gujarat,Gandhinagar,2025,16,0.0,32.8,18.177380952380954
Gujarat,Gandhinagar,2025,17,0.0,32.699999999999996,23.375595238095237
Gujarat,Gandhinagar,2025,18,0.0,33.75714285714286,15.405357142857142
Gujarat,Gandhinagar,2025,19,11.7,28.47142857142857,27.589285714285715
Gujarat,Gandhinagar,2025,20,0.1,32.9,24.451785714285712
Gujarat,Gandhinagar,2025,21,1.4000000000000001,34.75714285714285,32.61785714285715
Gujarat,Gandhinagar,2025,22,15.899999999999999,33.22857142857143,30.970833333333335
Gujarat,Gandhinagar,2025,23,2.7,33.24285714285714,29.63035714285714
Gujarat,Gandhinagar,2025,24,10.9,34.199999999999996,19.66190476190476
Gujarat,Gandhinagar,2025,25,74.0,29.585714285714285,21.701785714285716
Gujarat,Gandhinagar,2025,26,55.400000000000006,28.385714285714283,19.497619047619047
Gujarat,Gandhinagar,2025,27,131.5,27.942857142857143,16.22142857142857
Gujarat,Gandhinagar,2025,28,22.2,28.52857142857143,27.623809523809523
Gujarat,Gandhinagar,2025,29,33.9,28.857142857142858,30.34107142857143
Gujarat,Gandhinagar,2025,30,76.4,28.47142857142857,20.241071428571427
Gujarat,Gandhinagar,2025,31,13.0,28.2,21.044642857142858
Gujarat,Gandhinagar,2025,32,5.9,28.771428571428572,23.94404761904762
Gujarat,Gandhinagar,2025,33,51.1,28.599999999999998,24.84940476190476
Gujarat,Gandhinagar,2025,34,106.5,27.228571428571428,12.808333333333334
Gujarat,Gandhinagar,2025,35,85.8,27.74285714285714,24.862499999999997
Gujarat,Gandhinagar,2025,36,117.2,27.057142857142857,21.799404761904764
Gujarat,Gandhinagar,2025,37,4.0,27.24285714285714,29.152380952380955
Gujarat,Gandhinagar,2025,38,2.1,28.442857142857143,25.146428571428572
Gujarat,Gandhinagar,2025,39,39.6,28.885714285714283,19.35535714285714
Gujarat,Gandhinagar,2025,40,6.6,27.3,20.03690476190476
Gujarat,Gandhinagar,2025,41,2.3,26.2,43.038690476190474
Gujarat,Gandhinagar,2025,42,0.0,26.400000000000002,29.981547619047618
Gujarat,Gandhinagar,2025,43,2.2,27.74285714285714,48.125
Gujarat,Gandhinagar,2025,44,77.5,25.12857142857143,25.12797619047619
Gujarat,Gandhinagar,2025,45,2.0,23.67142857142857,38.92202380952381
Gujarat,Gandhinagar,2025,46,0.0,21.414285714285715,38.84464285714286
Gujarat,Gandhinagar,2025,47,0.0,20.82857142857143,58.16130952380953
Gujarat,Gandhinagar,2025,48,0.5,23.285714285714285,75.0952380952381
Gujarat,Gandhinagar,2025,49,0.0,21.071428571428573,43.78511904761905
Gujarat,Gandhinagar,2025,50,0.0,20.25714285714286,22.267261904761906
Gujarat,Gandhinagar,2025,51,0.0,20.571428571428573,33.507738095238096
